,STOCK,SMB,HML
1783,SSL,0.41087983,0.093087985
761,FNF,0.244289098,0.092852737
2077,WSBF,-0.03442261,0.092448514
697,FAST,0.14728887,0.091006924
675,EVRG,0.061717613,0.090719845
1477,PDCO,0.107283044,0.088906067
749,FLXS,-0.065248018,0.088444679
844,GIS,0.038317153,0.088245171
1618,RGR,0.184367232,0.087890262
598,EGLE,0.89633954,0.087744946
1510,PHT,0.200234284,0.08706024
1469,PCG,0.197058099,0.085616764
1244,MKL,0.199658056,0.085039678
1286,MSM,0.069892036,0.084550787
78,AMCX,0.125245348,0.083629223
1146,LIN,0.3362324,0.083174117
73,ALOT,0.0885188,0.082994233
1217,MELI,0.707055533,0.082792856
1403,OBT,0.207171049,0.081320539
617,EME,0.40186671,0.081256895
520,DGII,-0.076249753,0.081126977
2074,WRB,0.171200667,0.080453562
1827,TARO,0.119639487,0.079534013
2091,WU,0.311613388,0.078863768
1489,PFBC,0.012120329,0.078627141
320,CCBG,-0.010274653,0.078476296
148,AUBN,0.157683989,0.078070427
1722,SITC,0.139260202,0.078016244
492,CXT,0.470041956,0.077827794
476,CVCY,-0.02221099,0.077413721
704,FC,0.366750518,0.076649473
1353,NOA,0.631447757,0.07598106
1777,SRCE,0.169107514,0.07505312
342,CFFI,-0.111126188,0.074791795
7,AAT,0.136576961,0.07449238
439,CRAI,0.160693715,0.072925368
2011,VOD,0.411282438,0.072863959
623,ENLC,-0.139574841,0.072478403
2066,WMT,0.218633901,0.072401619
1576,PWOD,0.13818463,0.072167419
24,ACU,-0.17617544,0.071967241
1239,MIDD,0.11988865,0.070716706
838,GIB,0.270489981,0.068701028
1276,MRO,0.259699551,0.068666437
1450,OXSQ,0.327419993,0.066768433
1287,MSN,0.305052289,0.066655829
1121,KYN,0.015303231,0.066296069
1521,PLBC,0.189201507,0.066168669
986,IBKR,0.324223896,0.063636605
251,BOSC,0.058862396,0.063321506
184,BBWI,0.006349944,0.062489722
1364,NRP,-0.11251569,0.061654966
581,ECF,0.222012037,0.060618499
1224,MFIN,0.733989988,0.059494133
427,CPE,0.378549362,0.059310461
72,ALNT,0.301991319,0.058376954
1975,UTL,0.164716436,0.057952635
420,COP,0.186569551,0.057104696
1369,NSP,0.106020406,0.056596105
1359,NOV,0.330011922,0.055915541
678,EW,0.260748187,0.054448168
1215,MED,0.695456155,0.053941893
808,GBDC,0.084593746,0.053741849
1646,RTX,0.401116558,0.053711713
826,GES,0.876076714,0.052849088
296,CAH,-0.21605988,0.052724761
1451,OXY,0.414656954,0.051802319
1058,JBSS,0.005328979,0.050768988
123,AROW,-0.064487553,0.050637795
1799,STNG,0.478691932,0.048765683
400,CNA,0.320095857,0.04848088
1915,TTC,0.188030332,0.047444589
1635,ROIC,-0.108206821,0.046690113
1275,MRK,0.170628399,0.046462172
115,ARCC,0.212174361,0.0462159
1112,KR,-0.00607188,0.045967995
2090,WTW,0.314971948,0.044470236
1856,TGS,0.27027246,0.043813237
732,FHI,0.317159946,0.043660684
1347,NMI,-0.053884391,0.043282697
1724,SJM,-0.169240034,0.043232858
274,BVFL,-0.314315585,0.042960571
1262,MO,-0.025984076,0.042271186
1864,THS,-0.454693762,0.041627738
472,CULL,-0.072181063,0.037706479
1315,NATR,0.406885513,0.037137325
1866,TIMB,0.359800547,0.035980231
1317,NBIX,0.089985988,0.035213332
919,HI,0.254460772,0.034472918
1862,THR,0.100314384,0.03434758
2058,WKC,0.200196557,0.033560642
1413,OFLX,0.262786641,0.031521934
1323,NDAQ,0.190114529,0.031399551
874,GRF,-0.031636168,0.030941302
562,DTF,-0.014516419,0.030239083
440,CRESY,0.168146301,0.029526683
