SMB_interaction,HML_interaction,Stock,R_squared
-345.1158655346303,-85.90935679691094,COR,0.30693137529595604
-616.4241842721891,444.3134028576359,COST,0.49110647058214585
-918.0155508270893,1526.1134709994453,CPB,0.1365458354755058
824.9805087055544,-1986.754523918126,CPRT,0.35180088323261793
414.4268569835542,-609.2787093420992,CPT,0.4833069570678855
394.9990320430693,-9.375166785665515,CRL,0.42134776778520633
2364.54521255903,-4126.105664434797,CRM,0.5074156239158436
1863.5325411578801,-1019.2154490496873,CSCO,0.5059469027033222
1011.5331685180684,-1074.311715631483,CSGP,0.3738242219334934
160.4993903471882,-463.3998620827022,CSX,0.5589090543087278
656.5163126480184,-378.7887745996889,CTAS,0.5000847596817323
3.754623630816613,-1542.8787818175047,CTRA,0.26041589254895803
852.0131112975813,-1120.553402459769,CTSH,0.40056230669392046
