DATE,FEDFUNDS
2003-04-30,1.2566666666666666
2003-07-31,1.1633333333333333
2003-10-31,1.0166666666666666
2004-01-31,0.9933333333333333
2004-04-30,1.0033333333333332
2004-07-31,1.0966666666666667
2004-10-31,1.5999999999999999
2005-01-31,2.123333333333333
2005-04-30,2.64
2005-07-31,3.1
2005-10-31,3.6333333333333333
2006-01-31,4.1499999999999995
2006-04-30,4.623333333333334
2006-07-31,5.0566666666666675
2006-10-31,5.25
2007-01-31,5.246666666666667
2007-04-30,5.256666666666667
2007-07-31,5.253333333333333
2007-10-31,4.906666666666666
2008-01-31,4.223333333333334
2008-04-30,2.623333333333333
2008-07-31,1.9966666666666668
2008-10-31,1.5933333333333335
2009-01-31,0.2333333333333333
2009-04-30,0.18333333333333335
2009-07-31,0.18333333333333335
2009-10-31,0.14333333333333334
2010-01-31,0.11666666666666665
2010-04-30,0.16333333333333333
2010-07-31,0.18666666666666668
2010-10-31,0.19000000000000003
2011-01-31,0.18000000000000002
2011-04-30,0.13333333333333333
2011-07-31,0.08333333333333333
2011-10-31,0.08333333333333333
2012-01-31,0.07666666666666667
2012-04-30,0.12333333333333334
2012-07-31,0.16
2012-10-31,0.14333333333333334
2013-01-31,0.15333333333333335
2013-04-30,0.14666666666666667
2013-07-31,0.09666666666666666
2013-10-31,0.08333333333333333
2014-01-31,0.08
2014-04-30,0.08
2014-07-31,0.09333333333333334
2014-10-31,0.09000000000000001
2015-01-31,0.10666666666666667
2015-04-30,0.11333333333333333
2015-07-31,0.12666666666666668
2015-10-31,0.13333333333333333
2016-01-31,0.2333333333333333
2016-04-30,0.36999999999999994
2016-07-31,0.38000000000000006
2016-10-31,0.4000000000000001
2017-01-31,0.5333333333333333
2017-04-30,0.7833333333333333
2017-07-31,1.0333333333333334
2017-10-31,1.1533333333333333
2018-01-31,1.29
2018-04-30,1.54
2018-07-31,1.8099999999999998
2018-10-31,2.0166666666666666
2019-01-31,2.29
2019-04-30,2.41
2019-07-31,2.39
2019-10-31,2.0
2020-01-31,1.55
2020-04-30,0.7600000000000001
2020-07-31,0.07333333333333333
2020-10-31,0.09333333333333334
2021-01-31,0.09000000000000001
2021-04-30,0.07333333333333335
2021-07-31,0.08
2021-10-31,0.08333333333333333
2022-01-31,0.08
2022-04-30,0.20333333333333337
2022-07-31,1.22
2022-10-31,2.6566666666666667
2023-01-31,4.069999999999999
2023-04-30,4.683333333333334
2023-07-31,5.086666666666667
2023-10-31,5.33
2024-01-31,5.33
