HML_interaction,Stock,R_squared
-370.4750519138596,EFX,0.5364013982165203
1506.0036257641484,EG,0.2836212505933067
-205.61414559594877,EIX,0.14984026202563894
646.7959651977944,EL,0.4276810149254271
514.5448693814534,ELV,0.25708114807527327
-169.75226811530527,EMN,0.6353243945083686
571.7771266812468,EMR,0.5861469519787851
226.85994429461033,EOG,0.4182975093439877
-577.1701956149192,EQIX,0.3870574368895412
-40.897742494100235,EQR,0.46784083487198036
-1088.0280923908972,EQT,0.15325015420769295
261.673906822752,ESS,0.41581677660988436
-281.26184323557294,ETN,0.5996475357451332
65.58098147259331,ETR,0.18066727316810682
437.1049216690072,EVRG,0.17672956627807412
1322.6803217901615,EW,0.2828351413375252
120.93133041196914,EXC,0.11502702800888287
-518.5858415751321,EXPD,0.36777048911206967
